Skeleton 016:LFTC X,Skeleton 016:LFTC Y,Skeleton 016:LFTC Z
-796.393005,956.975037,-1245.896484
-796.14624,956.8255,-1244.908569
-795.878418,956.696777,-1243.848267
-795.629028,956.701904,-1242.68811
-795.359009,956.738647,-1241.555054
-795.150635,956.493164,-1240.373901
-794.982849,956.220398,-1239.045288
-794.696655,956.131592,-1237.780762
-794.524719,956.272095,-1236.473755
-794.160645,956.270508,-1235.038208
-793.622681,956.074707,-1233.505249
-793.275146,955.89447,-1232.03894
-793.010864,955.704712,-1230.562622
-792.797974,955.62561,-1228.761841
-792.50769,955.564758,-1227.022217
-792.115601,955.556946,-1225.315552
-791.637329,955.240051,-1223.397095
-791.372925,954.74585,-1221.317261
-791.362793,954.00592,-1219.119751
-791.143555,953.33667,-1217.194336
-790.600037,952.872559,-1215.050903
-790.203491,952.725891,-1213.101318
-789.357544,952.292908,-1210.910034
-788.827454,951.736206,-1209.00647
-788.249207,950.907471,-1206.670044
-787.875732,950.428894,-1204.533813
-787.79303,950.156921,-1202.083496
-787.36499,949.853882,-1199.380005
-787.061218,949.429688,-1196.923096
-786.582092,948.830933,-1194.263916
-786.408936,948.072327,-1191.605469
-786.070007,947.40802,-1188.94458
-785.717773,946.831848,-1186.455322
-785.323975,946.184448,-1184.023071
-784.938232,945.367554,-1181.174316
-785.063416,944.738342,-1178.440063
-784.577148,943.760803,-1175.666748
-784.06427,943.063904,-1173.14917
-783.650452,942.366943,-1170.958862
-783.450989,940.698486,-1168.286133
-783.157715,939.212952,-1165.716431
-782.736877,937.583862,-1163.182373
-782.283508,936.053467,-1160.530518
-781.993591,934.625122,-1158.175537
-781.429993,932.622925,-1155.682007
-781.141296,930.542969,-1153.156982
-780.775513,928.411377,-1150.942505
-780.580475,925.804016,-1148.4120484999999
-780.385437,923.196655,-1145.881592
-780.067383,920.973083,-1143.595703
-779.750366,918.370605,-1141.319458
-779.439819,915.593445,-1139.135498
-779.182373,912.534607,-1136.940186
-778.773376,909.080994,-1134.670654
-778.657043,905.849487,-1132.566406
-778.386353,902.438477,-1130.562134
-778.326904,899.01062,-1128.603638
-777.853516,895.205078,-1126.751465
-777.743286,891.448181,-1124.936157
-777.490662,887.496399,-1123.238525
-777.593262,883.191956,-1121.518066
-777.424683,878.917603,-1119.862061
-777.505676,874.811829,-1118.11731
-777.02771,870.403809,-1116.599609
-776.788818,866.017822,-1114.738037
-776.406616,861.500732,-1113.031616
-776.368591,857.014648,-1111.331299
-776.229126,852.058777,-1109.549805
-776.355225,847.332336,-1107.890137
-776.677856,842.829224,-1105.714233
-776.513,838.109436,-1104.013184
-776.328003,833.507263,-1102.234253
-775.937195,828.961914,-1100.317749
-775.614136,824.2146,-1098.800171
-775.449585,819.466125,-1097.023315
-775.174011,814.672363,-1095.524292
-775.106018,809.97998,-1093.585571
-774.857483,805.106262,-1092.039307
-774.696594,800.331238,-1090.207397
-774.698425,795.4823,-1088.748779
-774.770874,790.774414,-1086.932617
-775.054199,785.915466,-1085.241211
-775.316467,780.933472,-1083.177246
-775.214661,775.422485,-1080.717407
-773.640198,769.250488,-1077.48291
-773.259888,764.899536,-1074.968506
-772.787354,760.721436,-1072.163696
-772.454895,756.37439,-1069.243286
-772.803833,751.674622,-1067.237305
-772.816833,747.176514,-1065.173706
-772.576172,742.703552,-1063.192749
-772.396118,738.216064,-1061.209229
-772.15155,733.826294,-1058.932617
-772.476257,729.965881,-1057.752441
-772.394836,725.688965,-1055.68396
-772.201355,721.81958,-1053.326172
-772.122314,717.822998,-1051.318359
-771.503174,714.036072,-1048.815674
-771.363098,710.189026,-1046.976685
-771.848267,708.047913,-1047.121704
-771.417175,704.27655,-1045.371216
-769.782166,699.588501,-1039.740234
-770.719849,696.904114,-1039.674316
-769.184631,693.314941,-1034.240112
-770.672424,693.60614,-1037.424805
-769.814819,690.457764,-1036.820312
-766.797729,683.880432,-1034.775269
-765.708069,681.407654,-1032.763794
-765.577576,677.08075,-1029.807739
-764.604614,675.624817,-1027.483154
-764.300659,671.440063,-1024.681152
-764.005249,669.221985,-1021.898743
-763.504578,666.627014,-1019.065369
-762.955994,664.205933,-1016.20343
-762.38208,662.407715,-1013.863831
-760.969055,661.283508,-1012.315063
-760.343933,659.173706,-1010.17688
-759.470276,657.74115,-1008.018494
-759.204163,656.031616,-1005.585571
-758.939392,655.093445,-1003.246216
-757.941223,653.692261,-1001.167786
-756.938293,652.786133,-999.226379
-756.676636,651.138916,-997.552673
-756.0376285,650.157593,-995.658905
-755.398621,649.17627,-993.765137
-755.089294,647.716675,-991.955444
-754.609436,646.753296,-990.073608
-754.176086,645.529663,-988.424377
-753.875427,644.131836,-986.732361
-753.568726,642.943542,-985.009338
-753.501343,641.677429,-983.58783
-753.297424,640.085327,-981.652588
-752.62207,639.528992,-979.978516
-751.858459,638.434753,-979.050659
-751.791382,637.378174,-977.471375
-751.254761,636.123962,-976.096436
-751.560547,635.044373,-974.270325
-750.859802,634.328125,-973.267822
-750.864441,632.851868,-971.946655
-750.457214,632.017578,-970.278259
-750.429016,631.242798,-969.139526
-750.46698,630.302856,-967.584167
-750.930786,629.151917,-966.137634
-751.403809,628.254517,-965.480408
-750.751953,627.644409,-963.559814
-750.215698,625.403931,-962.580933
-749.877441,625.222595,-961.547791
-750.259766,623.530884,-959.982056
-749.839355,623.71991,-958.784546
-750.147888,622.255737,-957.744507
-750.049072,621.044128,-956.359924
-749.887146,620.188721,-955.312073
-749.973145,619.256531,-954.401306
-750.231018,618.632507,-953.205017
-750.951904,617.329651,-952.03241
-750.716736,616.997009,-951.044189
-750.759521,615.69104,-950.148987
-751.608276,615.46698,-948.809875
-752.081177,615.06604,-947.808472
-751.859131,614.235474,-946.681152
-751.733948,614.0672,-945.657593
-751.579956,613.000488,-944.571899
-751.605774,612.98584,-943.880737
-751.631531,611.61499,-943.257568
-751.510742,611.710938,-942.358887
-751.793335,609.627075,-941.523682
-752.324829,609.908142,-940.957581
-752.119812,608.577393,-940.168396
-752.039246,608.848022,-939.39917
-751.910889,607.597778,-938.441833
-751.990112,607.980225,-937.71283
-751.806152,606.721252,-937.062683
-751.642151,606.756165,-936.390686
-751.299194,605.638916,-935.708801
-751.201355,606.094666,-935.228638
-750.806946,604.742981,-934.429321
-750.651428,605.34198,-933.79425
-750.301819,604.06958,-933.346252
-750.239136,604.643433,-932.903076
-749.974915,603.551086,-932.482849
-749.81073,604.147888,-932.081543
-749.420471,602.925598,-931.528259
-749.187317,603.606873,-931.262878
-748.9796755,603.1148989999999,-930.914276
-748.772034,602.622925,-930.565674
-748.274841,602.337708,-929.763916
-748.188049,602.250854,-929.552124
-747.936279,602.081482,-929.223572
-747.700012,602.38092,-929.033508
-747.48053,602.125916,-928.714844
-747.247314,602.525574,-928.594849
-747.00415,601.890808,-928.269226
-746.983093,602.350403,-928.345215
-746.654785,601.641541,-928.09137
-746.408691,602.161926,-928.12915
-746.138062,601.418823,-927.885803
-746.179565,602.164917,-928.046692
-745.967529,601.392578,-927.873535
-745.883667,601.870422,-928.006042
-745.654114,601.026794,-927.842102
-745.960754,601.889893,-928.017639
-745.8255,601.062622,-928.266602
-745.582703,601.248413,-928.352722
-745.427307,600.785461,-928.412842
-745.414368,600.885071,-928.570312
-745.159302,600.497131,-928.625916
-745.113159,600.52356,-928.800293
-745.017273,600.427551,-928.825806
-744.989868,600.547791,-928.966858
-744.853943,600.698486,-929.032349
-744.825317,600.700684,-929.035217
-744.867065,600.6445925,-929.0906064999999
-744.908813,600.588501,-929.145996
-745.002075,600.433533,-929.244324
-745.129456,600.578186,-929.2901
-745.028442,600.892639,-929.248352
-745.153992,600.828003,-929.204895
-745.291321,601.192749,-929.195251
-745.401794,601.032776,-929.171814
-745.532104,601.118774,-929.251831
-745.607483,601.066772,-929.266479
-745.746216,601.204041,-929.355774
-745.893188,601.291504,-929.411255
-746.05542,601.429504,-929.540405
-746.180664,601.491028,-929.617859
-746.339966,601.566833,-929.770691
-746.506653,601.518188,-929.934509
-746.725403,601.459595,-930.317993
-747.279175,601.783264,-930.798706
-747.536072,601.731079,-931.061646
-747.906006,601.963135,-931.402588
-747.7658995,602.1636659999999,-931.5210875
-747.625793,602.364197,-931.639587
-747.83075,602.49115,-932.045105
-748.091553,602.611633,-932.499084
-749.344604,604.381409,-933.085693
-750.288879,603.992249,-933.686584
-749.670837,604.011963,-934.492004
-751.07428,604.807129,-935.055725
-748.796936,606.236694,-936.047119
-749.024841,607.757019,-936.951477
-749.440552,608.060059,-937.797058
-750.85199,606.283081,-938.664062
-750.271851,608.48938,-939.955505
-750.687195,609.945251,-941.00769
-751.339722,610.366516,-942.155151
-753.134277,608.898499,-943.573242
-752.996216,611.542725,-945.332703
-753.6745,613.588867,-946.931763
-754.954956,614.291809,-948.707825
-758.016174,614.022583,-950.346008
-761.0408325,614.9781190000001,-951.7030944999999
-764.065491,615.933655,-953.060181
-761.213318,621.311584,-955.505554
-759.901428,625.602112,-959.703125
-760.85199,628.392578,-962.183044
-762.015015,628.656921,-963.150574
-762.490601,633.660583,-965.417053
-762.332581,636.733459,-967.262451
-763.312988,641.069153,-970.850586
-763.11853,643.912476,-973.297546
-763.958679,647.806763,-976.675415
-764.169312,651.096497,-979.172058
-764.919556,655.434387,-982.39386
-765.4655459999999,659.2757875,-984.9889525
-766.011536,663.117188,-987.584045
-766.833008,666.927002,-990.524536
-766.385193,669.857056,-994.559387
-765.88269,673.665283,-998.597778
-766.266235,676.914856,-1001.636475
-766.835876,680.984009,-1004.306763
-767.38562,684.789673,-1006.885071
-767.948792,688.187073,-1009.50708
-768.208984,692.243225,-1012.043213
-768.777466,696.104919,-1014.712463
-769.573242,699.198608,-1017.227661
-770.046265,703.19165,-1019.658691
-770.525146,707.50415,-1022.478943
-770.875549,711.850952,-1025.081299
-771.33075,716.190735,-1027.582397
-771.869873,720.404053,-1030.014893
-772.460388,724.72522,-1032.262085
-772.980652,729.211182,-1034.49292
-773.450439,733.603821,-1036.753052
-773.87085,738.244934,-1038.835205
-774.1427,742.953064,-1040.720825
-774.543091,747.65564,-1042.720459
-774.941956,752.490845,-1044.676758
-775.482056,757.32782,-1046.775757
-775.922729,762.28418,-1048.621704
-776.311951,767.430054,-1050.414307
-776.512146,772.809937,-1052.151733
-776.894592,777.934143,-1053.782715
-777.24176,782.997375,-1055.466553
-777.714355,787.950745,-1057.256958
-778.227905,793.12616,-1058.940918
-778.584961,798.248169,-1060.555664
-778.978149,803.479553,-1062.519409
-779.289185,808.690491,-1064.13562
-779.719849,814.140686,-1065.789917
-780.00769,819.277039,-1067.621948
-780.296814,824.437073,-1069.391357
-780.887573,829.626709,-1071.095337
-781.333801,834.706421,-1072.99646
-781.803467,839.786438,-1075.044067
-782.308289,844.88092,-1077.079834
-782.812378,849.83252,-1079.024658
-783.325317,854.610474,-1081.200562
-783.740662,859.263977,-1083.412354
-784.401489,864.039124,-1085.585083
-785.059387,868.667358,-1087.784912
-785.679443,873.281921,-1090.151611
-786.249634,877.845581,-1092.513672
-786.836731,882.311829,-1094.861328
-787.586365,886.824463,-1097.225586
-788.248718,890.989624,-1099.482178
-788.937256,895.252747,-1101.844971
-789.645142,899.372681,-1104.406006
-790.378601,903.537292,-1107.00061
-791.029419,907.593201,-1109.57312
-791.564636,911.712585,-1112.055054
-792.217102,915.632324,-1114.63562
-792.954712,919.403931,-1117.381104
-793.662964,923.140869,-1120.283569
-794.21759,926.466736,-1123.512817
-794.626648,929.529541,-1126.568115
-795.34967,933.354065,-1129.253784
-796.122192,937.013,-1131.517822
-796.63324,939.845276,-1133.869873
-797.179932,942.29126,-1136.678589
-797.91272,944.813538,-1139.981201
-798.674805,947.055176,-1143.1698
-799.323975,949.09259,-1146.115356
-799.777527,950.893066,-1148.87854
-800.330261,952.469604,-1152.020508
-800.939026,953.648132,-1155.655884
-801.570374,954.810303,-1159.032349
-802.141663,955.925598,-1162.500854
-802.941284,957.095215,-1166.573242
-804.255493,959.814941,-1170.215942
-804.562317,961.186951,-1173.318604
-804.720947,961.604004,-1176.229614
-805.310425,961.665833,-1178.963013
-806.08313,961.477722,-1181.875366
-806.717957,961.346558,-1184.302246
-807.505005,961.315186,-1186.724609
-807.991638,961.005127,-1189.06311
-808.421936,960.564209,-1190.993286
-808.656738,959.946167,-1192.692505
-809.240845,959.525269,-1194.40979
-809.530029,959.092529,-1196.112183
-809.813843,958.707336,-1197.851318
-810.211731,958.398865,-1199.684204
-810.372742,958.096863,-1201.113403
-810.48938,957.900513,-1202.806641
-810.471924,957.770569,-1204.53125
-810.5672,957.909363,-1206.059082
-810.796265,958.061401,-1207.92688
-811.003601,958.140808,-1209.510986
-810.997803,957.980896,-1210.847534
-811.250916,957.832947,-1212.387573
-811.385742,957.639587,-1213.658936
-811.33606,957.474121,-1214.775391
-811.258911,957.356873,-1216.258179
-811.430603,957.492615,-1217.659058
-811.37677,957.46637,-1218.907471
-811.336182,957.396179,-1219.94873
-811.413086,957.353455,-1221.006348
-811.309631,957.400085,-1222.103149
-811.127014,957.529114,-1222.946411
-810.856445,957.565918,-1223.787231
-810.653381,957.609985,-1224.617188
-810.601868,957.661865,-1225.553833
-810.677307,957.782349,-1226.362793
-810.618042,957.805054,-1227.075317
-810.328796,957.821777,-1227.60437
-809.904846,957.806274,-1228.237793
-809.618713,957.803528,-1228.77771
-809.544312,957.787964,-1229.296265
-809.54657,957.715149,-1229.734009
-809.473633,957.622498,-1230.149536
-809.261475,957.56366,-1230.568848
-808.959045,957.580872,-1231.032593
-808.672363,957.629028,-1231.505615
-808.459961,957.711426,-1232.075439
-808.269043,957.715088,-1232.624756
-808.009705,957.572571,-1233.183594
-807.870239,957.440613,-1233.588623
-807.727905,957.377197,-1233.895752
-807.480225,957.372314,-1234.255127
-807.203979,957.430908,-1234.677856
-806.938721,957.494141,-1235.141602
-806.76416,957.485413,-1235.635864
-806.780273,957.472534,-1236.075562
-806.72583,957.419495,-1236.396851
-806.625977,957.367493,-1236.744873
-806.472534,957.353638,-1237.052734
-806.266907,957.334351,-1237.566895
-806.156372,957.35907,-1238.01123
-806.130737,957.346008,-1238.42627
-806.150024,957.396851,-1238.611938
-805.340454,956.796021,-1239.321899
-805.60791,956.812317,-1239.214355
-805.342651,956.904236,-1239.370361
-805.447144,957.038025,-1239.402588
-805.363281,957.100281,-1239.478638
-805.26709,957.128418,-1239.603149
-805.119263,957.034424,-1239.638916
-804.919556,956.832581,-1239.570557
-804.6602175,956.616974,-1239.326477
-804.400879,956.401367,-1239.082397
-804.160278,956.260864,-1238.76123
-803.870728,956.176147,-1238.338379
-803.579834,956.123413,-1237.876343
-803.262573,956.069946,-1237.352783
-802.898376,955.916077,-1236.691528
-802.638306,955.651428,-1235.796631
-802.220947,955.330994,-1234.621582
-801.783936,955.17627,-1233.493652
-801.429321,955.220764,-1232.493164
-800.996216,955.284851,-1231.31897
-800.359009,955.213074,-1229.859985
-799.894104,955.147217,-1228.450439
-799.303955,954.958191,-1226.764648
-798.814575,954.617737,-1224.924805
-798.359009,953.976196,-1222.835449
-797.960632,953.255127,-1220.687866
-797.594604,952.689697,-1218.432861
-797.1698,952.122803,-1216.03186
-796.406311,951.375305,-1213.459839
-795.816467,950.678467,-1210.996948
-794.736572,949.629456,-1208.133301
-793.890625,948.360718,-1205.242676
-793.028748,947.026001,-1202.437134
-792.145142,945.794312,-1199.6521
-791.177124,944.311218,-1196.347534
-790.255554,942.541626,-1192.761719
-789.449097,940.603271,-1189.090454
-788.604309,938.52301,-1185.182861
-787.718628,936.558533,-1181.385986
-786.85675,934.515442,-1177.556641
-785.981445,932.345337,-1173.434937
-785.016846,929.887146,-1169.192383
-783.894531,927.189941,-1164.971436
-783.030457,924.520752,-1160.556396
-782.013733,921.715088,-1156.041748
-780.759827,918.729309,-1151.894775
-779.470459,915.727234,-1147.700928
-778.431519,912.463135,-1143.392456
-777.259033,908.772644,-1138.905029
-776.167908,905.115417,-1134.552002
-774.906555,901.206787,-1130.124634
-773.7276,897.401489,-1126.120728
-772.830566,893.114807,-1121.812988
-771.926819,888.59021,-1117.630127
-771.077881,884.253296,-1113.334229
-770.158508,879.696045,-1109.35083
-769.195923,875.103271,-1105.377075
-768.422668,870.584351,-1101.601318
